Mon,Tue,Wed,Thu,Fri,Sat,Sun,lat,long,rad
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0.235294118,0,1,0,0,0,40.44158,-79.94291,45
0,0.869565217,0,1,0,0,0,40.44158,-79.94291,45
0,1,0,1,0,0,0,40.44158,-79.94291,45
0,1,0,1,0,0,0,40.44158,-79.94291,45
0,1,0,1,0,0,0,40.44158,-79.94291,45
0,1,0,1,0,0,0,40.44158,-79.94291,45
0,0.384615385,0,0.967213115,0,0,0,40.44158,-79.94291,45
0,0,0,0.0697674419,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0.217391304,0,40.44158,-79.94291,45
0.0909090909,0,0,0,0,0.421875,0,40.44158,-79.94291,45
0,0,0,0,0,0.1875,0,40.44158,-79.94291,45
0,0,0,0.012345679,0,0.32,0,40.44158,-79.94291,45
0,0,0,0.205882353,0.264705882,0.4,0,40.44158,-79.94291,45
0,0,0,0,0.35483871,0.106382979,0,40.44158,-79.94291,45
0,0,0,0,0.41509434,0,0,40.44158,-79.94291,45
0,0,0,0,0.607843137,0,0,40.44158,-79.94291,45
0.123076923,0,0,0,0.577777778,0,0,40.44158,-79.94291,45
0.412698413,0,0,0,0,0,0,40.44158,-79.94291,45
0.451612903,0,0.0909090909,0,0,0,0,40.44158,-79.94291,45
1,0,1,0,0.666666667,0,0,40.44158,-79.94291,45
1,0,1,0,0.565217391,0,0,40.44158,-79.94291,45
1,0,1,0,0,0,0,40.44158,-79.94291,45
0.304347826,0,0.352941176,0,0,0,0,40.44158,-79.94291,45
0.296296296,0,0,0,0,0,0,40.44158,-79.94291,45
0.431818182,0,0,0,0,0,0,40.44158,-79.94291,45
0.694444444,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0,0,0,0,0,40.44158,-79.94291,45
0,0,0.0222222222,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0.0975609756,0,0,0,0,0,40.44173,-79.94717,15
0,0.989795918,0,0.974025974,0,0,0,40.44173,-79.94717,15
0,1,0,1,0,0,0,40.44173,-79.94717,15
0,1,0,0.987654321,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
0,0,0,0,0,0,0,40.44173,-79.94717,15
